https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XRP,Volume USD
1482028500,2016-12-18 02:35:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482028440,2016-12-18 02:34:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482028380,2016-12-18 02:33:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482028320,2016-12-18 02:32:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482028260,2016-12-18 02:31:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482028200,2016-12-18 02:30:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482028140,2016-12-18 02:29:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482028080,2016-12-18 02:28:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482028020,2016-12-18 02:27:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482027960,2016-12-18 02:26:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482027900,2016-12-18 02:25:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482027840,2016-12-18 02:24:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482027780,2016-12-18 02:23:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482027720,2016-12-18 02:22:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482027660,2016-12-18 02:21:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482027600,2016-12-18 02:20:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482027540,2016-12-18 02:19:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482027480,2016-12-18 02:18:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482027420,2016-12-18 02:17:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482027360,2016-12-18 02:16:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482027300,2016-12-18 02:15:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482027240,2016-12-18 02:14:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482027180,2016-12-18 02:13:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482027120,2016-12-18 02:12:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482027060,2016-12-18 02:11:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482027000,2016-12-18 02:10:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482026940,2016-12-18 02:09:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482026880,2016-12-18 02:08:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482026820,2016-12-18 02:07:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482026760,2016-12-18 02:06:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482026700,2016-12-18 02:05:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482026640,2016-12-18 02:04:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482026580,2016-12-18 02:03:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482026520,2016-12-18 02:02:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482026460,2016-12-18 02:01:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482026400,2016-12-18 02:00:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482026340,2016-12-18 01:59:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482026280,2016-12-18 01:58:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482026220,2016-12-18 01:57:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482026160,2016-12-18 01:56:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482026100,2016-12-18 01:55:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482026040,2016-12-18 01:54:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482025980,2016-12-18 01:53:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482025920,2016-12-18 01:52:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482025860,2016-12-18 01:51:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482025800,2016-12-18 01:50:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482025740,2016-12-18 01:49:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482025680,2016-12-18 01:48:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482025620,2016-12-18 01:47:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482025560,2016-12-18 01:46:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482025500,2016-12-18 01:45:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482025440,2016-12-18 01:44:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482025380,2016-12-18 01:43:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482025320,2016-12-18 01:42:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482025260,2016-12-18 01:41:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482025200,2016-12-18 01:40:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482025140,2016-12-18 01:39:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482025080,2016-12-18 01:38:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482025020,2016-12-18 01:37:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482024960,2016-12-18 01:36:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482024900,2016-12-18 01:35:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
